# ----------------------------------------
# 网页和屏幕: 网页路径和屏幕类
# 账号：linkdolls
# 媒体资源：linkdolls-new - GA4
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260301
# 结束日期：20260331
网页路径和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
/products/f2580-168cm5-5ft-39kg-h-cup-ros-max-pink-lovers-silicone-realistic-sex-dolls-real-lady,187,114,1.6403508771929824,89.90350877192982,983,77,0
/collections/anime-banner,186,62,3,37.04838709677419,504,44,0
/en-ca/collections/fake-pussy-fake-vagina-sex-toys,186,64,2.90625,31.4375,532,62,0
/ja/collections/male-sex-doll,186,17,10.941176470588236,195.94117647058823,372,10,0
/products/f4904-150cm4ft9-35-5kg-b-cup-silicone-anime-style-furry-bunny-doll-climax-doll-ultra,185,167,1.1077844311377245,32.119760479041915,860,49,0
/collections/black-male-sex-doll,183,94,1.946808510638298,35.223404255319146,696,61,0
/collections/jiusheng-doll,183,56,3.267857142857143,67.78571428571429,571,94,0
/collections/sigafun-doll,182,82,2.2195121951219514,29.658536585365855,570,83,0
/collections/skinny-sex-dolls,182,66,2.757575757575758,56.5,582,137,0
/products/f4093-153cm-45kg-q-cup-full-silicone-ssbbw-hentai-biggest-ssbbw-sex-doll-castle-doll,180,162,1.1111111111111112,57.129629629629626,902,52,0
/collections/yl-doll,179,49,3.6530612244897958,76.42857142857143,501,70,0
/collections/saggy-huge-breast-sex-doll,178,70,2.5428571428571427,36.9,598,108,0
/products/t684-42lbsexy-and-real-realistic-ass-sex-doll-torso,176,154,1.1428571428571428,50.22077922077922,852,51,0
/en-ca/collections/femboys-sex-doll,171,64,2.671875,33.65625,548,61,0
/products/t444-37-48lb-silicone-femboy-sex-doll-torso-with-huge-dildo-lovenestle,171,174,0.9827586206896551,31.24137931034483,807,28,0
/products/f5700-160cm-5ft4-55kg-q-cup-silicone-anime-bear-furry-sex-doll-with-round-ears-castle-doll,170,172,0.9883720930232558,34.06395348837209,805,28,0
/en-ca/collections/sex-doll-torso-dildo-for-woman,168,54,3.111111111111111,47.2962962962963,493,52,0
/products/f4890-169cm-5ft5-50kg-d-cup-big-breasts-silicone-head-tpe-body-life-size-bbw-ai-sex-doll-sy-dolls,168,151,1.1125827814569536,64.94701986754967,837,46,0
/products/t693-64-6lb-meru-anime-alien-sex-doll-torso-with-flat-chest-silicone-head-red-skin-torso-pro,168,161,1.0434782608695652,26.652173913043477,810,57,0
/collections/fit-sex-doll,167,57,2.9298245614035086,51.1578947368421,414,55,0
/products/v24-silicone-fleshlight-foot-with-toe-detail-and-soft-insert-tunnel,167,109,1.5321100917431192,56.11009174311926,756,57,0
/products/v26-vajancle-silicone-right-feet,167,158,1.0569620253164558,29.088607594936708,748,44,0
/products/a555-32-1lbbbw-big-ass-robotic-sex-doll-torso-vibrates-heats-clamps-rotates-clockwise-and-counterclockwise,166,148,1.1216216216216217,30.64864864864865,790,22,0
/collections/ai-sex-dolls-list,165,133,1.2406015037593985,32.78195488721804,920,111,0
/products/f1871k-159cm-naruto春野-サクラ-tpe-sex-doll-fun-west-doll,163,140,1.1642857142857144,46.65714285714286,795,71,0
/collections/new-arrivals,160,92,1.7391304347826086,414.14130434782606,632,55,0
/products/t443-20-94lb-silicone-big-boobs-anime-sex-doll-torso-lovenestle,157,136,1.1544117647058822,42.39705882352941,785,36,0
/en-ca/blogs/dolls-info-qustions/how-to-make-fake-pussy,156,144,1.0833333333333333,36.861111111111114,859,23,0
/products/a358-27-5lb-silicone-butt-sexy-and-real-realistic-big-ass-sex-doll-torso-climax-doll,154,142,1.0845070422535212,36.985915492957744,785,77,0
/products/f5834k-168cm-5ft5-35kg-f-cup-silicone-realistic-sex-doll-in-stock-usa-top-cydoll,154,150,1.0266666666666666,30.9,686,15,0
/products/t267-big-coke-male-sex-dolls-torso-dildo-for-women,154,137,1.1240875912408759,42.29197080291971,752,37,0
/en-ca/collections/futa-sex-doll,153,64,2.390625,35.09375,572,59,0
/blogs/dolls-info-qustions/shocking-in-depth-review-of-naimi-1-1-celebrity-sex-doll,151,133,1.1353383458646618,38.721804511278194,858,32,0
/collections/fake-pussy-hentai-sex-doll,151,85,1.776470588235294,20.541176470588237,563,52,0
